video,country,continent,subcontinent,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
NULL,NULL,NULL,NULL,21628,1799,316,1268,47,242,81,198,33745,3386,93,26.72,0,0,0,0,0,0,0,0.0964,0.0166,83,2225,8,37,414,67
-2j_mud7JPE,NULL,NULL,NULL,97,3,1,12,0,1,0,0,194,14,120,4.42,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
-o9Naxpk0cg,NULL,NULL,NULL,905,79,18,43,0,17,3,7,643,57,42,59.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10,1
-zAbOcb4Pns,NULL,NULL,NULL,53,5,6,13,0,0,0,1,27,2,30,55.33,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
44mfjROTX6w,NULL,NULL,NULL,130,6,3,15,1,0,0,2,352,19,162,30.219999999999995,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
4Ecp_xiU6Gc,NULL,NULL,NULL,115,10,6,12,1,2,0,1,153,26,80,25.85,0,0,0,0,0,0,0,0.5,0.0,2,7,1,0,2,0
549LM6U1yfs,NULL,NULL,NULL,117,18,2,9,1,3,1,1,206,20,105,29.09,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
5OpcECI2ZH4,NULL,NULL,NULL,151,15,5,17,0,2,0,8,192,16,76,71.41,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
5by1jF54fEo,NULL,NULL,NULL,132,11,4,16,0,3,0,5,285,11,129,38.62,0,0,0,0,0,0,0,0.0,0.0,0,30,0,0,0,0
5pbDN9uW9ZU,NULL,NULL,NULL,154,9,4,19,1,0,0,1,59,4,23,54.27000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
7V5ZHKqYCJI,NULL,NULL,NULL,924,70,11,46,2,34,8,3,1929,146,125,55.69,0,0,0,0,0,0,0,0.0,0.0124,12,565,0,7,12,0
80onzM604aw,NULL,NULL,NULL,64,4,1,11,0,1,1,3,145,13,136,26.6,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
9zk2Gi7IVps,NULL,NULL,NULL,144,7,9,21,0,5,0,7,278,16,115,27.860000000000003,0,0,0,0,0,0,0,0.0,0.0,2,67,0,0,3,0
CEH4E6lEsgI,NULL,NULL,NULL,118,11,6,21,0,0,0,5,349,34,177,26.71,0,0,0,0,0,0,0,0.0,0.0127,2,79,0,1,4,0
Cann_az2T8E,NULL,NULL,NULL,564,28,17,51,1,1,1,9,739,39,78,40.16,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,31,0
GJApEApVzNo,NULL,NULL,NULL,562,40,5,18,0,7,1,10,206,15,22,73.58,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
HsU-3vdKC9A,NULL,NULL,NULL,25,2,1,5,0,1,1,0,16,0,39,68.45,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
IAXUo7xXFtw,NULL,NULL,NULL,160,12,5,29,0,2,0,3,413,28,155,35.43,0,0,0,0,0,0,0,0.0,0.0,0,56,0,0,8,0
K4L_6RinZec,NULL,NULL,NULL,59,8,4,7,0,0,0,2,83,9,85,28.6,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
KTfvWxESi-0,NULL,NULL,NULL,134,14,5,14,1,5,2,1,244,23,109,33.23,0,0,0,0,0,0,0,0.3333,0.3,3,10,1,3,1,0
MTp5w7zmrRA,NULL,NULL,NULL,326,8,1,12,1,0,0,0,73,1,13,48.26,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
MignYuClO4A,NULL,NULL,NULL,149,19,4,17,0,5,2,1,240,31,96,24.66,0,0,0,0,0,0,0,0.2221999999999999,0.087,9,46,2,4,2,0
NaczzJYUCQc,NULL,NULL,NULL,114,18,4,11,3,5,5,4,247,34,130,31.33,0,0,0,0,0,0,0,0.0,0.0,2,44,0,0,3,0
OMdpHaLLXDs,NULL,NULL,NULL,445,26,1,21,2,1,0,0,128,9,17,57.79,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
PAKKJSZjY34,NULL,NULL,NULL,363,29,6,28,0,3,2,10,628,56,103,23.03,0,0,0,0,0,0,0,0.0,0.02,2,50,0,1,0,0
Pp9bdeK5LFI,NULL,NULL,NULL,86,3,1,12,0,1,0,1,147,11,103,39.47,0,0,0,0,0,0,0,0.0,0.0,0,56,0,0,1,0
QMIadtys-rg,NULL,NULL,NULL,714,45,4,69,1,1,1,0,290,14,24,42.81,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
RJPUg-XqQS0,NULL,NULL,NULL,501,44,5,23,1,5,2,5,756,67,90,23.24,0,0,0,0,0,0,0,0.1667,0.1135999999999999,6,44,1,5,3,0
RbUn1WY3UYE,NULL,NULL,NULL,91,14,4,12,0,2,1,2,172,17,113,37.87,0,0,0,0,0,0,0,0.0667,0.0175,15,114,1,2,2,0
RtgJn2kn3WM,NULL,NULL,NULL,125,16,6,19,1,1,0,7,299,32,143,29.69,0,0,0,0,0,0,0,0.0,0.0417,4,24,0,1,5,0
RzfTVTAz0MM,NULL,NULL,NULL,50,3,3,8,0,0,0,3,133,11,160,47.39,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
SV_eqPj3HyQ,NULL,NULL,NULL,447,92,6,23,3,7,2,3,939,202,126,32.83,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,8,0
SktC4aU2_L8,NULL,NULL,NULL,201,15,6,13,0,1,1,0,70,6,21,41.49,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
UPVuzN48dHQ,NULL,NULL,NULL,161,14,5,15,1,1,0,4,335,23,125,30.84,0,0,0,0,0,0,0,0.0,0.0,0,7,0,0,2,0
XMS9dRzRdeU,NULL,NULL,NULL,99,17,5,14,0,2,1,3,80,9,48,63.24000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
XyLdk9C8TA0,NULL,NULL,NULL,337,33,7,25,0,2,1,5,685,58,121,26.29,0,0,0,0,0,0,0,0.0,0.0,0,80,0,0,3,0
aaURBmEvvyU,NULL,NULL,NULL,360,52,3,19,8,3,2,1,828,107,138,25.78,0,0,0,0,0,0,0,0.1667,0.0678,6,59,1,4,4,2
b9zTV-pIGUs,NULL,NULL,NULL,192,17,6,26,1,4,1,10,415,39,129,28.000000000000004,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0
btDDSg_n65A,NULL,NULL,NULL,882,51,3,52,0,2,1,3,389,24,26,56.37,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,2
e8Z1vVr-5oo,NULL,NULL,NULL,3299,315,15,90,7,60,19,4,11720,1245,213,22.13,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,28,0
egC4D94WBR0,NULL,NULL,NULL,105,18,9,9,0,3,3,2,364,24,208,37.04,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
gMjq09lP2Dc,NULL,NULL,NULL,123,12,2,13,0,0,0,3,211,24,103,19.66,0,0,0,0,0,0,0,0.0,0.0,4,27,0,0,2,0
goMuir1zJOM,NULL,NULL,NULL,288,52,6,16,1,3,1,2,565,102,117,35.49,0,0,0,0,0,0,0,0.0,0.0079,1,126,0,1,4,0
hThr9qf-5oo,NULL,NULL,NULL,116,7,9,20,0,0,0,2,229,10,118,22.49,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,7,0
k-hNC9Dl9OQ,NULL,NULL,NULL,108,12,7,23,0,3,2,1,315,63,175,28.75,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
m2qCaSAE4Kk,NULL,NULL,NULL,653,63,5,24,3,3,2,7,1280,133,117,16.01,0,0,0,0,0,0,0,0.0,0.0056,4,360,0,2,1,0
mQ7iFmzg4vs,NULL,NULL,NULL,66,8,5,4,0,1,1,6,122,11,111,38.76,0,0,0,0,0,0,0,0.0,0.0588,1,17,0,1,0,0
oS-zGAHQGmE,NULL,NULL,NULL,253,23,10,35,0,1,0,5,534,80,126,24.52,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10,0
oZZoi1b0NWc,NULL,NULL,NULL,173,15,2,22,0,3,1,1,312,35,108,22.21,0,0,0,0,0,0,0,0.0,0.2727,4,11,0,3,3,0
p3tyqqfKcfs,NULL,NULL,NULL,1651,147,3,34,2,4,0,2,459,40,16,55.65,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
rdC3eFn1osI,NULL,NULL,NULL,186,12,11,27,1,0,0,11,285,22,92,40.42,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,1
sfF8BzoUVGw,NULL,NULL,NULL,430,38,2,14,0,1,0,0,107,11,15,60.2,0,0,0,0,0,0,0,0.0,0.0243999999999999,1,41,0,1,0,0
tNW2Y10a2II,NULL,NULL,NULL,2705,75,7,49,1,8,3,2,835,21,18,61.75999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,9,0
twZArnTFKvA,NULL,NULL,NULL,204,23,6,21,0,9,2,2,444,40,130,28.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
vR0uf0nK50s,NULL,NULL,NULL,101,9,5,15,1,1,1,2,206,23,122,34.82,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
vXd5--xqnVU,NULL,NULL,NULL,500,51,4,21,0,5,4,2,1282,135,153,26.73,0,0,0,0,0,0,0,0.3333,0.0302999999999999,3,33,1,1,6,0
wCcV9h_91SA,NULL,NULL,NULL,79,6,5,14,0,3,0,3,249,12,189,39.81,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,0,0
wDAefGS4B2Q,NULL,NULL,NULL,138,21,5,11,0,1,0,6,348,38,151,42.42,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
xzn1JjU-0G0,NULL,NULL,NULL,191,24,5,8,1,3,2,4,385,43,121,36.37,0,0,0,0,0,0,0,0.0,0.0,0,238,0,0,2,0
NULL,US,NULL,NULL,6541,37,0,203,0,0,0,0,12998,34,119,30.79,0,0,0,0,0,0,0,0.0,0.0,0,427,0,0,23,0
NULL,GB,NULL,NULL,86,0,0,0,0,0,0,0,208,0,145,29.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
NULL,IN,NULL,NULL,238,0,0,0,0,0,0,0,209,0,52,23.19,0,0,0,0,0,0,0,0.0,0.0,0,10,0,0,0,0
-o9Naxpk0cg,US,NULL,NULL,13,0,0,0,0,0,0,0,11,0,55,76.41,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
-o9Naxpk0cg,NULL,Americas,NULL,13,0,0,0,0,0,0,0,11,0,55,76.41,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
44mfjROTX6w,US,NULL,NULL,24,0,0,0,0,0,0,0,65,0,162,30.210000000000004,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
44mfjROTX6w,NULL,Americas,NULL,24,0,0,0,0,0,0,0,65,0,162,30.210000000000004,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
4Ecp_xiU6Gc,US,NULL,NULL,11,0,0,0,0,0,0,0,18,0,100,32.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
4Ecp_xiU6Gc,NULL,Americas,NULL,11,0,0,0,0,0,0,0,18,0,100,32.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
5OpcECI2ZH4,US,NULL,NULL,31,0,0,0,0,0,0,0,43,0,84,79.12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
5OpcECI2ZH4,NULL,Americas,NULL,31,0,0,0,0,0,0,0,43,0,84,79.12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
7V5ZHKqYCJI,US,NULL,NULL,12,0,0,0,0,0,0,0,34,0,171,76.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
7V5ZHKqYCJI,NULL,Americas,NULL,12,0,0,0,0,0,0,0,34,0,171,76.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
9zk2Gi7IVps,US,NULL,NULL,11,0,0,0,0,0,0,0,15,0,85,20.65,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
9zk2Gi7IVps,NULL,Americas,NULL,11,0,0,0,0,0,0,0,15,0,85,20.65,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
CEH4E6lEsgI,US,NULL,NULL,13,0,0,0,0,0,0,0,28,0,130,19.63,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
CEH4E6lEsgI,NULL,Americas,NULL,13,0,0,0,0,0,0,0,28,0,130,19.63,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Cann_az2T8E,US,NULL,NULL,194,0,0,0,0,0,0,0,223,0,69,35.34,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Cann_az2T8E,NULL,Americas,NULL,194,0,0,0,0,0,0,0,223,0,69,35.34,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
GJApEApVzNo,US,NULL,NULL,38,0,0,0,0,0,0,0,14,0,23,77.43,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
GJApEApVzNo,NULL,Americas,NULL,38,0,0,0,0,0,0,0,14,0,23,77.43,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
IAXUo7xXFtw,US,NULL,NULL,17,0,0,0,0,0,0,0,48,0,170,38.82,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
IAXUo7xXFtw,NULL,Americas,NULL,17,0,0,0,0,0,0,0,48,0,170,38.82,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
MTp5w7zmrRA,US,NULL,NULL,13,0,0,0,0,0,0,0,3,0,14,51.46999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
MTp5w7zmrRA,NULL,Americas,NULL,13,0,0,0,0,0,0,0,3,0,14,51.46999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
OMdpHaLLXDs,US,NULL,NULL,120,0,0,0,0,0,0,0,35,0,17,58.540000000000006,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
OMdpHaLLXDs,NULL,Americas,NULL,120,0,0,0,0,0,0,0,35,0,17,58.540000000000006,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
PAKKJSZjY34,US,NULL,NULL,174,0,0,0,0,0,0,0,313,0,107,23.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
PAKKJSZjY34,NULL,Americas,NULL,174,0,0,0,0,0,0,0,313,0,107,23.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Pp9bdeK5LFI,US,NULL,NULL,10,0,0,0,0,0,0,0,13,0,79,30.61,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Pp9bdeK5LFI,NULL,Americas,NULL,10,0,0,0,0,0,0,0,13,0,79,30.61,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
QMIadtys-rg,US,NULL,NULL,90,0,0,13,0,0,0,0,35,0,23,42.03,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
RJPUg-XqQS0,US,NULL,NULL,12,0,0,0,0,0,0,0,23,0,116,29.89,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
RJPUg-XqQS0,NULL,Americas,NULL,12,0,0,0,0,0,0,0,23,0,116,29.89,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
RtgJn2kn3WM,US,NULL,NULL,21,0,0,0,0,0,0,0,65,0,186,38.48,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
RtgJn2kn3WM,NULL,Americas,NULL,21,0,0,0,0,0,0,0,65,0,186,38.48,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
SV_eqPj3HyQ,US,NULL,NULL,12,0,0,0,0,0,0,0,24,0,124,32.39,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
SV_eqPj3HyQ,NULL,Americas,NULL,12,0,0,0,0,0,0,0,24,0,124,32.39,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
XyLdk9C8TA0,US,NULL,NULL,15,0,0,0,0,0,0,0,16,0,67,14.59,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
XyLdk9C8TA0,NULL,Americas,NULL,15,0,0,0,0,0,0,0,16,0,67,14.59,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
aaURBmEvvyU,US,NULL,NULL,21,0,0,0,0,0,0,0,72,0,207,38.63,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
aaURBmEvvyU,NULL,Americas,NULL,21,0,0,0,0,0,0,0,72,0,207,38.63,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
b9zTV-pIGUs,US,NULL,NULL,44,0,0,0,0,0,0,0,107,0,146,31.64,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
