video,country,continent,subcontinent,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
b9zTV-pIGUs,NULL,Americas,NULL,44,0,0,0,0,0,0,0,107,0,146,31.64,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
btDDSg_n65A,US,NULL,NULL,43,0,0,0,0,0,0,0,23,0,33,70.63,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
e8Z1vVr-5oo,US,NULL,NULL,95,0,0,0,0,0,0,0,384,0,243,25.239999999999995,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
e8Z1vVr-5oo,NULL,Americas,NULL,95,0,0,0,0,0,0,0,384,0,243,25.239999999999995,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
egC4D94WBR0,US,NULL,NULL,12,0,0,0,0,0,0,0,27,0,137,24.41,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
egC4D94WBR0,NULL,Americas,NULL,12,0,0,0,0,0,0,0,27,0,137,24.41,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
gMjq09lP2Dc,US,NULL,NULL,11,0,0,0,0,0,0,0,25,0,140,26.83,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
gMjq09lP2Dc,NULL,Americas,NULL,11,0,0,0,0,0,0,0,25,0,140,26.83,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
goMuir1zJOM,US,NULL,NULL,10,0,0,0,0,0,0,0,30,0,183,55.28,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
goMuir1zJOM,NULL,Americas,NULL,10,0,0,0,0,0,0,0,30,0,183,55.28,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
hThr9qf-5oo,US,NULL,NULL,27,0,0,0,0,0,0,0,53,0,118,22.36,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
hThr9qf-5oo,NULL,Americas,NULL,27,0,0,0,0,0,0,0,53,0,118,22.36,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
k-hNC9Dl9OQ,US,NULL,NULL,27,0,0,0,0,0,0,0,37,0,84,13.82,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
k-hNC9Dl9OQ,NULL,Americas,NULL,27,0,0,0,0,0,0,0,37,0,84,13.82,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
m2qCaSAE4Kk,US,NULL,NULL,11,0,0,0,0,0,0,0,44,0,240,32.73,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
m2qCaSAE4Kk,NULL,Americas,NULL,11,0,0,0,0,0,0,0,44,0,240,32.73,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
oS-zGAHQGmE,US,NULL,NULL,91,0,0,0,0,0,0,0,187,0,123,23.91,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
oS-zGAHQGmE,NULL,Americas,NULL,91,0,0,0,0,0,0,0,187,0,123,23.91,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
oZZoi1b0NWc,US,NULL,NULL,19,0,0,0,0,0,0,0,29,0,92,18.96,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
oZZoi1b0NWc,NULL,Americas,NULL,19,0,0,0,0,0,0,0,29,0,92,18.96,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
p3tyqqfKcfs,US,NULL,NULL,116,14,0,0,0,0,0,0,33,3,17,57.830000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
p3tyqqfKcfs,NULL,Americas,NULL,116,14,0,0,0,0,0,0,33,3,17,57.830000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
rdC3eFn1osI,US,NULL,NULL,55,0,0,0,0,0,0,0,92,0,100,44.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
rdC3eFn1osI,NULL,Americas,NULL,55,0,0,0,0,0,0,0,92,0,100,44.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
sfF8BzoUVGw,US,NULL,NULL,33,0,0,0,0,0,0,0,11,0,20,81.79,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
sfF8BzoUVGw,NULL,Americas,NULL,33,0,0,0,0,0,0,0,11,0,20,81.79,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
tNW2Y10a2II,US,NULL,NULL,93,0,0,0,0,0,0,0,32,0,21,70.2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
tNW2Y10a2II,NULL,Americas,NULL,93,0,0,0,0,0,0,0,32,0,21,70.2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
twZArnTFKvA,US,NULL,NULL,23,0,0,0,0,0,0,0,47,0,124,26.780000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
twZArnTFKvA,NULL,Americas,NULL,23,0,0,0,0,0,0,0,47,0,124,26.780000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
vXd5--xqnVU,US,NULL,NULL,11,0,0,0,0,0,0,0,15,0,84,14.59,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
vXd5--xqnVU,NULL,Americas,NULL,11,0,0,0,0,0,0,0,15,0,84,14.59,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
wDAefGS4B2Q,US,NULL,NULL,13,0,0,0,0,0,0,0,39,0,184,51.55,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
wDAefGS4B2Q,NULL,Americas,NULL,13,0,0,0,0,0,0,0,39,0,184,51.55,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Cann_az2T8E,IN,NULL,NULL,16,0,0,0,0,0,0,0,31,0,118,60.69,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Cann_az2T8E,NULL,Asia,NULL,16,0,0,0,0,0,0,0,31,0,118,60.69,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
MTp5w7zmrRA,IN,NULL,NULL,16,0,0,0,0,0,0,0,3,0,11,42.21,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
OMdpHaLLXDs,IN,NULL,NULL,10,0,0,0,0,0,0,0,2,0,15,50.43,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
PAKKJSZjY34,IN,NULL,NULL,12,0,0,0,0,0,0,0,16,0,84,18.77,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
PAKKJSZjY34,NULL,Asia,NULL,12,0,0,0,0,0,0,0,16,0,84,18.77,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
sfF8BzoUVGw,IN,NULL,NULL,12,0,0,0,0,0,0,0,2,0,13,55.42,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
sfF8BzoUVGw,NULL,Asia,NULL,12,0,0,0,0,0,0,0,2,0,13,55.42,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
NULL,NULL,Americas,NULL,6644,37,0,213,0,0,0,0,13052,34,117,30.829999999999995,0,0,0,0,0,0,0,0.0,0.0,0,427,0,0,23,0
NULL,NULL,Asia,NULL,863,12,0,0,0,0,0,0,434,3,30,28.809999999999995,0,0,0,0,0,0,0,0.0,0.0,0,10,0,0,0,0
NULL,NULL,Europe,NULL,314,0,0,0,0,0,0,0,302,0,57,29.49,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
QMIadtys-rg,NULL,Americas,NULL,151,0,0,13,0,0,0,0,56,0,22,39.6,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
btDDSg_n65A,NULL,Americas,NULL,53,0,0,0,0,0,0,0,27,0,31,66.54,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
GJApEApVzNo,NULL,Asia,NULL,55,0,0,0,0,0,0,0,20,0,22,76.13,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
MTp5w7zmrRA,NULL,Asia,NULL,27,0,0,0,0,0,0,0,5,0,11,39.89,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
OMdpHaLLXDs,NULL,Asia,NULL,32,0,0,0,0,0,0,0,8,0,15,52.33,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
QMIadtys-rg,NULL,Asia,NULL,204,12,0,0,0,0,0,0,79,3,23,41.18,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
btDDSg_n65A,NULL,Asia,NULL,11,0,0,0,0,0,0,0,3,0,20,43.13,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
p3tyqqfKcfs,NULL,Asia,NULL,167,0,0,0,0,0,0,0,39,0,14,47.66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
tNW2Y10a2II,NULL,Asia,NULL,38,0,0,0,0,0,0,0,7,0,12,41.66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
GJApEApVzNo,NULL,Europe,NULL,13,0,0,0,0,0,0,0,4,0,18,62.88,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
OMdpHaLLXDs,NULL,Europe,NULL,25,0,0,0,0,0,0,0,4,0,10,35.05,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
btDDSg_n65A,NULL,Europe,NULL,11,0,0,0,0,0,0,0,2,0,16,34.61,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
p3tyqqfKcfs,NULL,Europe,NULL,106,0,0,0,0,0,0,0,27,0,15,51.12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
tNW2Y10a2II,NULL,Europe,NULL,10,0,0,0,0,0,0,0,2,0,12,42.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
NULL,NULL,NULL,Northern America,6553,37,0,203,0,0,0,0,13000,34,119,30.79,0,0,0,0,0,0,0,0.0,0.0,0,427,0,0,23,0
NULL,NULL,NULL,South America,46,0,0,0,0,0,0,0,16,0,22,38.79,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
NULL,NULL,NULL,Eastern Europe,10,0,0,0,0,0,0,0,3,0,21,9.74,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
NULL,NULL,NULL,Southeastern Asia,547,12,0,0,0,0,0,0,195,3,21,38.51,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
-o9Naxpk0cg,NULL,NULL,Northern America,13,0,0,0,0,0,0,0,11,0,55,76.41,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
44mfjROTX6w,NULL,NULL,Northern America,24,0,0,0,0,0,0,0,65,0,162,30.210000000000004,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
4Ecp_xiU6Gc,NULL,NULL,Northern America,11,0,0,0,0,0,0,0,18,0,100,32.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
5OpcECI2ZH4,NULL,NULL,Northern America,31,0,0,0,0,0,0,0,43,0,84,79.12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
7V5ZHKqYCJI,NULL,NULL,Northern America,12,0,0,0,0,0,0,0,34,0,171,76.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
9zk2Gi7IVps,NULL,NULL,Northern America,11,0,0,0,0,0,0,0,15,0,85,20.65,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
CEH4E6lEsgI,NULL,NULL,Northern America,13,0,0,0,0,0,0,0,28,0,130,19.63,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Cann_az2T8E,NULL,NULL,Northern America,194,0,0,0,0,0,0,0,223,0,69,35.34,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
GJApEApVzNo,NULL,NULL,Northern America,38,0,0,0,0,0,0,0,14,0,23,77.43,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
IAXUo7xXFtw,NULL,NULL,Northern America,17,0,0,0,0,0,0,0,48,0,170,38.82,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
MTp5w7zmrRA,NULL,NULL,Northern America,13,0,0,0,0,0,0,0,3,0,14,51.46999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
OMdpHaLLXDs,NULL,NULL,Northern America,120,0,0,0,0,0,0,0,35,0,17,58.540000000000006,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
PAKKJSZjY34,NULL,NULL,Northern America,174,0,0,0,0,0,0,0,313,0,107,23.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Pp9bdeK5LFI,NULL,NULL,Northern America,10,0,0,0,0,0,0,0,13,0,79,30.61,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
QMIadtys-rg,NULL,NULL,Northern America,90,0,0,13,0,0,0,0,35,0,23,42.03,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
RJPUg-XqQS0,NULL,NULL,Northern America,12,0,0,0,0,0,0,0,23,0,116,29.89,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
RtgJn2kn3WM,NULL,NULL,Northern America,21,0,0,0,0,0,0,0,65,0,186,38.48,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
SV_eqPj3HyQ,NULL,NULL,Northern America,12,0,0,0,0,0,0,0,24,0,124,32.39,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
XyLdk9C8TA0,NULL,NULL,Northern America,15,0,0,0,0,0,0,0,16,0,67,14.59,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
aaURBmEvvyU,NULL,NULL,Northern America,21,0,0,0,0,0,0,0,72,0,207,38.63,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
b9zTV-pIGUs,NULL,NULL,Northern America,44,0,0,0,0,0,0,0,107,0,146,31.64,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
btDDSg_n65A,NULL,NULL,Northern America,43,0,0,0,0,0,0,0,23,0,33,70.63,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
e8Z1vVr-5oo,NULL,NULL,Northern America,95,0,0,0,0,0,0,0,384,0,243,25.239999999999995,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
egC4D94WBR0,NULL,NULL,Northern America,12,0,0,0,0,0,0,0,27,0,137,24.41,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
gMjq09lP2Dc,NULL,NULL,Northern America,11,0,0,0,0,0,0,0,25,0,140,26.83,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
goMuir1zJOM,NULL,NULL,Northern America,10,0,0,0,0,0,0,0,30,0,183,55.28,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
hThr9qf-5oo,NULL,NULL,Northern America,27,0,0,0,0,0,0,0,53,0,118,22.36,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
k-hNC9Dl9OQ,NULL,NULL,Northern America,27,0,0,0,0,0,0,0,37,0,84,13.82,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
m2qCaSAE4Kk,NULL,NULL,Northern America,11,0,0,0,0,0,0,0,44,0,240,32.73,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
oS-zGAHQGmE,NULL,NULL,Northern America,91,0,0,0,0,0,0,0,187,0,123,23.91,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
oZZoi1b0NWc,NULL,NULL,Northern America,19,0,0,0,0,0,0,0,29,0,92,18.96,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
p3tyqqfKcfs,NULL,NULL,Northern America,116,14,0,0,0,0,0,0,33,3,17,57.830000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
rdC3eFn1osI,NULL,NULL,Northern America,55,0,0,0,0,0,0,0,92,0,100,44.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
sfF8BzoUVGw,NULL,NULL,Northern America,33,0,0,0,0,0,0,0,11,0,20,81.79,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
tNW2Y10a2II,NULL,NULL,Northern America,93,0,0,0,0,0,0,0,32,0,21,70.2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
twZArnTFKvA,NULL,NULL,Northern America,23,0,0,0,0,0,0,0,47,0,124,26.780000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
vXd5--xqnVU,NULL,NULL,Northern America,11,0,0,0,0,0,0,0,15,0,84,14.59,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
wDAefGS4B2Q,NULL,NULL,Northern America,13,0,0,0,0,0,0,0,39,0,184,51.55,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
QMIadtys-rg,NULL,NULL,South America,46,0,0,0,0,0,0,0,16,0,22,38.79,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
GJApEApVzNo,NULL,NULL,Southeastern Asia,22,0,0,0,0,0,0,0,8,0,23,77.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
OMdpHaLLXDs,NULL,NULL,Southeastern Asia,22,0,0,0,0,0,0,0,5,0,15,53.2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
QMIadtys-rg,NULL,NULL,Southeastern Asia,204,12,0,0,0,0,0,0,79,3,23,41.18,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
btDDSg_n65A,NULL,NULL,Southeastern Asia,11,0,0,0,0,0,0,0,3,0,20,43.13,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
p3tyqqfKcfs,NULL,NULL,Southeastern Asia,155,0,0,0,0,0,0,0,36,0,14,46.9,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
tNW2Y10a2II,NULL,NULL,Southeastern Asia,38,0,0,0,0,0,0,0,7,0,12,41.66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
